Output of question3
 wonderful : 3
 fare : 3
 farm : 3
 crazed : 3
 craggy : 3
 including : 3
 shaking : 3
 upward : 3
 quality : 3
 final : 3
 herself : 3
 Information : 3
 lightly : 3
 pursued : 3
 intentions : 3
 smoking : 3
 parts : 3
 Oxford : 3
 frequently : 3
 finds : 3
 restore : 3
 oak : 3
 indicated : 3
 equally : 3
 additional : 3
 north : 3
 stories : 3
 yell : 3
 chiming : 3
 trousers : 3
 vast : 3
 clothes : 3
 eyebrows : 3
 campaign : 3
 recommend : 3
 warn : 3
 hellhound : 3
 inhabited : 3
 suggestive : 3
 curiosity : 3
 third : 3
 content : 3
 turning : 3
 folded : 3
 Over : 3
 reference : 3
 Hospital : 3
 decided : 3
 height : 3
 basis : 3
 particulars : 3
 threw : 3
 sentence : 3
 patience : 3
 conceal : 3
 knee : 3
 handed : 3
 teeth : 3
 Desmond : 3
 unpleasant : 3
 drag : 3
 talked : 3
 dealing : 3
 suspect : 3
 filled : 3
 suggestion : 3
 wealth : 3
 rigid : 3
 pathway : 3
 girl : 3
 correct : 3
 Sometimes : 3
 Black : 3
 fiery : 3
 surprising : 3
 fills : 3
 hailed : 3
 ruddy : 3
 coffee : 3
 stepped : 3
 stunted : 3
 chamber : 3
 strikes : 3
 imagination : 3
 revellers : 3
 shattered : 3
 threads : 3
 pressing : 3
 unexpected : 3
 bleak : 3
 playing : 3
 existence : 3
 researches : 3
 seeking : 3
 energy : 3
 projected : 3
 acting : 3
 supposed : 3
 orders : 3
 built : 3
 hillside : 3
 permission : 3
 feared : 3
 masterful : 3
 simply : 3
 Franklands : 3
 raw : 3
 howl : 3
 MRCS : 3
 Whatever : 3
 indication : 3
 decision : 3
 per : 3
 framed : 3
 boys : 3
 favourite : 3
 2001 : 3
 Long : 3
 outlying : 3
 rueful : 3
 composed : 3
 themselves : 3
 tunnel : 3
 collection : 3
 chasing : 3
 lines : 3
 trembling : 3
 tangle : 3
 messenger : 3
 south : 3
 loved : 3
 curved : 3
 apparently : 3
 hazel : 3
 beat : 3
 routine : 3
 deliver : 3
 otherwise : 3
 copies : 3
 finished : 3
 defiant : 3
 add : 3
 match : 3
 works : 3
 soft : 3
 convey : 3
 although : 3
 mastiff : 3
 Two : 3
 wise : 3
 whisper : 3
 bundle : 3
 Station : 3
 changed : 3
 aloud : 3
 clapped : 3
 forehead : 3
 descend : 3
 shadowy : 3
 tool : 3
 flame : 3
 queer : 3
 spite : 3
 continually : 3
 mud : 3
 news : 3
 quickly : 3
 loft : 3
 expenses : 3
 beside : 3
 hearts : 3
 shadowed : 3
 departed : 3
 apart : 3
 unambitious : 3
 efforts : 3
 Still : 3
 admiration : 3
 brightly : 3
 fury : 3
 longer : 3
 discern : 3
 exalted : 3
 spectral : 3
 water : 3
 thirty : 3
 guilty : 3
 crisis : 3
 autumn : 3
 stream : 3
 secured : 3
 branches : 3
 glancing : 3
 butterflies : 3
 deceived : 3
 Such : 3
 wide : 3
 computer : 3
 cards : 3
 considered : 3
 uncles : 3
 hedge : 3
 rumours : 3
 author : 3
 statue : 3
 footprint : 3
 IF : 3
 Im : 3
 Id : 3
 United : 3
 actions : 3
 shillings : 3
 communicate : 3
 subdued : 3
 valley : 3
 mischief : 3
 tiptoe : 3
 strongly : 3
 russet : 3
 frighten : 3
 worse : 3
 worst : 3
 design : 3
 butterflynet : 3
 proceed : 3
 knows : 3
 v : 3
 excursion : 3
 atrocious : 3
 swung : 3
 lighting : 3
 liability : 3
 avenue : 3
 health : 3
 twenty : 3
 consequence : 3
 passes : 3
 recovered : 3
 Beryl : 3
 grotesque : 3
 hid : 3
 village : 3
 demon : 3
 About : 3
 ETEXT : 3
 meaning : 3
 peering : 3
 abode : 3
 bounding : 3
 blackbearded : 3
 Neolithic : 3
 larger : 3
 apply : 3
 examination : 3
 possession : 3
 clever : 3
 fiend : 3
 anywhere : 3
 proof : 3
 earnestness : 3
 1882 : 3
 interrupted : 3
 beauties : 3
 anyhow : 3
 After : 3
 High : 3
 refund : 3
 THE : 3
 luminous : 3
 monstrous : 3
 cruel : 3
 glimmered : 3
 swift : 3
 conceived : 3
 collar : 3
 obtain : 3
 LIMITED : 3
 murderer : 3
 Really : 3
 record : 3
 eagerness : 3
 trailing : 3
 mutual : 3
 book : 3
 Western : 2
 uncertain : 2
 elegant : 2
 specialist : 2
 elaborate : 2
 strike : 2
 frockcoat : 2
 leaped : 2
 Trillion : 2
 caution : 2
 groaned : 2
 Notting : 2
 destined : 2
 cigarettes : 2
 clumsy : 2
 borne : 2
 outburst : 2
 threatened : 2
 sheet : 2
 enormous : 2
 listen : 2
 wisdom : 2
 legally : 2
 redfaced : 2
 exultation : 2
 absorbed : 2
 scream : 2
 prim : 2
 busy : 2
 telegrams : 2
 patch : 2
 disaster : 2
 fair : 2
 rings : 2
 preserve : 2
 sheepdog : 2
 gleaming : 2
 Instantly : 2
 worked : 2
 damages : 2
 supper : 2
 prison : 2
 plucked : 2
 continue : 2
 visitors : 2
 consulting : 2
 sob : 2
 grasping : 2
 fascination : 2
 County : 2
 guineas : 2
 intend : 2
 persecution : 2
 fastened : 2
 settle : 2
 speculation : 2
 sigh : 2
 jury : 2
 understanding : 2
 accomplished : 2
 MY : 2
 prefer : 2
 logical : 2
 Those : 2
 introducing : 2
 pretend : 2
 Out : 2
 stole : 2
 divided : 2
 wastepaper : 2
 tore : 2
 solitary : 2
 derive : 2
 torn : 2
 suspicion : 2
 troubled : 2
 Baskervillethat : 2
 records : 2
 establishing : 2
 neighbourhood : 2
 canvas : 2
 disguised : 2
 overtaken : 2
 coats : 2
 addressing : 2
 buried : 2
 Mlle : 2
 coroners : 2
 Halfway : 2
 dogcart : 2
 tears : 2
 awaiting : 2
 Having : 2
 orchids : 2
 impressions : 2
 aroused : 2
 screen : 2
 spare : 2
 menacing : 2
 practised : 2
 enable : 2
 lanes : 2
 formed : 2
 intimately : 2
 brow : 2
 Looking : 2
 slime : 2
 starving : 2
 sums : 2
 sensational : 2
 clad : 2
 satisfactory : 2
 thinks : 2
 Projects : 2
 curling : 2
 burning : 2
 lively : 2
 trademark : 2
 hes : 2
 Footprints : 2
 walks : 2
 creak : 2
 extract : 2
 waving : 2
 careful : 2
 floated : 2
 diary : 2
 ASCII : 2
 contrast : 2
 neglected : 2
 glowing : 2
 waved : 2
 refuse : 2
 attitude : 2
 pane : 2
 ally : 2
 sucked : 2
 brunette : 2
 ftp : 2
 missed : 2
 Carere : 2
 Report : 2
 belief : 2
 drifting : 2
 retained : 2
 expedient : 2
 delicate : 2
 SMALL : 2
 glitter : 2
 guest : 2
 warmly : 2
 appreciation : 2
 seize : 2
 dragged : 2
 desolate : 2
 failed : 2
 columns : 2
 dependent : 2
 instituted : 2
 spirits : 2
 halfway : 2
 WARRANTY : 2
 loaf : 2
 bell : 2
 community : 2
 hollow : 2
 agitation : 2
 vanish : 2
 shorter : 2
 crying : 2
 quest : 2
 formal : 2
 spring : 2
 ambush : 2
 custom : 2
 inches : 2
 deductions : 2
 reconcile : 2
 outpaced : 2
 Outside : 2
 concealment : 2
 occasional : 2
 breathed : 2
 inferences : 2
 garden : 2
 pledge : 2
 waning : 2
 expressed : 2
 makes : 2
 moorlands : 2
 purposes : 2
 Several : 2
 paler : 2
 tied : 2
 halfpast : 2
 Defects : 2
 Regina : 2
 decay : 2
 hobby : 2
 designs : 2
 traced : 2
 accounts : 2
 scare : 2
 straining : 2
 system : 2
 travelled : 2
 painful : 2
 quarry : 2
 steel : 2
 fail : 2
 Youll : 2
 device : 2
 bedroom : 2
 trivial : 2
 Meanwhile : 2
 jaw : 2
 quickened : 2
 planted : 2
 edition : 2
 injustice : 2
 ends : 2
 etc : 2
 Hes : 2
 cd : 2
 Get : 2
 ravens : 2
 agonized : 2
 lush : 2
 glared : 2
 oldfashioned : 2
 valour : 2
 glaring : 2
 Medical : 2
 stumbled : 2
 mullioned : 2
 lest : 2
 moments : 2
 DEAR : 2
 clergyman : 2
 wet : 2
 crisp : 2
 chairs : 2
 replacement : 2
 flush : 2
 tins : 2
 coldly : 2
 software : 2
 Somewhere : 2
 grate : 2
 places : 2
 official : 2
 odds : 2
 veil : 2
 ghost : 2
 saved : 2
 Partly : 2
 UNDER : 2
 obtained : 2
 Queer : 2
 highly : 2
 tariff : 2
 EVEN : 2
 provide : 2
 agony : 2
 fever : 2
 Will : 2
 haste : 2
 consent : 2
 blown : 2
 band : 2
 reasonable : 2
 crimes : 2
 created : 2
 supposing : 2
 meshes : 2
 observations : 2
 upshot : 2
 warders : 2
 footmarks : 2
 strength : 2
 erroneous : 2
 pasted : 2
 paralyzing : 2
 gasped : 2
 tone : 2
 gratitude : 2
 chimneys : 2
 warmth : 2
 attacked : 2
 Thence : 2
 wooing : 2
 contact : 2
 Say : 2
 invaluable : 2
 denied : 2
 banked : 2
 horizon : 2
 strangely : 2
 fight : 2
 astonished : 2
 postscript : 2
 prayer : 2
 stake : 2
 brothers : 2
 welcome : 2
 devoted : 2
 Esquimau : 2
 flash : 2
 settee : 2
 emergencies : 2
 shared : 2
 English : 2
 roaring : 2
 impatiently : 2
 Tomorrow : 2
 homeward : 2
 pony : 2
 envelope : 2
 clue : 2
 Down : 2
 stimulating : 2
 discussion : 2
 ponies : 2
 produce : 2
 crept : 2
 trifle : 2
 forms : 2
 hackles : 2
 Wait : 2
 barrow : 2
 servant : 2
 furtive : 2
 vexation : 2
 fires : 2
 receiving : 2
 shows : 2
 directly : 2
 size : 2
 sheep : 2
 breed : 2
 jutted : 2
 hippocket : 2
 browser : 2
 steady : 2
 hurled : 2
 Web : 2
 foaming : 2
 stained : 2
 asleep : 2
 Through : 2
 muttered : 2
 informed : 2
 foggy : 2
 baying : 2
 soil : 2
 ship : 2
 inquire : 2
 treatment : 2
 downward : 2
 Before : 2
 shreevatsarediffmailcom : 2
 passions : 2
 illomened : 2
 uneasy : 2
 elementary : 2
 forwarded : 2
 stars : 2
 cottage : 2
 Great : 2
 drift : 2
 everywhere : 2
 decide : 2
 throbbing : 2
 witnessed : 2
 disclaimers : 2
 amount : 2
 lurked : 2
 trained : 2
 injury : 2
 nine : 2
 pushed : 2
 charities : 2
 hell : 2
 queerest : 2
 hillsides : 2
 goodmorning : 2
 moaning : 2
 blank : 2
 surrounded : 2
 7 : 2
 issue : 2
 ash : 2
 firstclass : 2
 elder : 2
 shilling : 2
 horse : 2
 quote : 2
 hired : 2
 salary : 2
 hardened : 2
 circle : 2
 legible : 2
 waterproof : 2
 descriptions : 2
 sensitive : 2
 Hart : 2
 damp : 2
 recalled : 2
 pack : 2
 Weve : 2
 older : 2
 mislaid : 2
 shivering : 2
 quarters : 2
 halffull : 2
 mirror : 2
 popular : 2
 urgent : 2
 faith : 2
 nonsense : 2
 Their : 2
 cautiously : 2
 ordered : 2
 objection : 2
 smiled : 2
 required : 2
 Am : 2
 murderous : 2
 Goodnight : 2
 verdict : 2
 click : 2
 haunts : 2
 examining : 2
 manage : 2
 charming : 2
 appointed : 2
 crossed : 2
 withdrew : 2
 links : 2
 atone : 2
 hesitate : 2
 rays : 2
 Wilson : 2
 fogbank : 2
 tiptoed : 2
 York : 2
 watermark : 2
 resumed : 2
 precisely : 2
 management : 2
 relations : 2
 R : 2
 submitted : 2
 villainy : 2
 sundown : 2
 gesture : 2
 infernal : 2
 WARRANTIES : 2
 Yard : 2
 contain : 2
 coldblooded : 2
 cuts : 2
 horrible : 2
 sorely : 2
 limits : 2
 admit : 2
 bearing : 2
 distinguish : 2
 senses : 2
 mail : 2
 surface : 2
 fierce : 2
 taller : 2
 liked : 2
 ample : 2
 unseen : 2
 immediately : 2
 alternatively : 2
 Foulmire : 2
 belonged : 2
 refuge : 2
 foeman : 2
 couldnt : 2
 museum : 2
 noticed : 2
 balcony : 2
 Besides : 2
 Spanish : 2
 protest : 2
 contained : 2
 presents : 2
 heading : 2
 force : 2
 pace : 2
 haze : 2
 Put : 2
 credit : 2
 superstitious : 2
 besides : 2
 landscape : 2
 criminals : 2
 posting : 2
 wary : 2
 shepherds : 2
 Being : 2
 attempt : 2
 goodbye : 2
 deathly : 2
 combination : 2
 downs : 2
 entomology : 2
 investigator : 2
 arrested : 2
 conjectures : 2
 hushed : 2
 hidingplace : 2
 reader : 2
 Defect : 2
 loud : 2
 thereof : 2
 speck : 2
 somewhat : 2
 peculiar : 2
 enabled : 2
 retire : 2
 wearing : 2
 fields : 2
 HAVE : 2
 voyage : 2
 Central : 2
 proceeded : 2
 puts : 2
 tiny : 2
 regretted : 2
 ugly : 2
 seven : 2
 cane : 2
 shimmering : 2
 parish : 2
 entitled : 2
 delight : 2
 kin : 2
 identify : 2
 yes : 2
 regarded : 2
 discreet : 2
 destroy : 2
 DOMAIN : 2
 deaf : 2
 pain : 2
 Cyclopides : 2
 wept : 2
 lied : 2
 flying : 2
 jealousy : 2
 temper : 2
 authorities : 2
 apology : 2
 profits : 2
 souls : 2
 anticipation : 2
 dip : 2
 useful : 2
 fly : 2
 nearest : 2
 crazy : 2
 confused : 2
 pink : 2
 nothingnothing : 2
 swore : 2
 sworn : 2
 map : 2
 mad : 2
 deceive : 2
 listing : 2
 views : 2
 careless : 2
 badly : 2
 fingertips : 2
 emerged : 2
 earlier : 2
 advance : 2
 waiter : 2
 itthe : 2
 Anthony : 2
 crevice : 2
 10 : 2
 gigantic : 2
 proofread : 2
 Court : 2
 dash : 2
 200 : 2
 investigations : 2
 upright : 2
 enthusiast : 2
 plume : 2
 devote : 2
 enthusiasm : 2
 distinctly : 2
 stupid : 2
 communicated : 2
 declared : 2
 eighteenth : 2
 accustomed : 2
 dates : 2
 according : 2
 Directory : 2
 Shreevatsa : 2
 considering : 2
 eventually : 2
 characteristics : 2
 ferns : 2
 harsh : 2
 pay : 2
 Upwood : 2
 Youve : 2
 roughly : 2
 bottle : 2
 gates : 2
 astonishment : 2
 grip : 2
 gnarled : 2
 secrecy : 2
 passionate : 2
 accomplice : 2
 critical : 2
 intrude : 2
 Goodbye : 2
 preoccupied : 2
 roar : 2
 violence : 2
 insect : 2
 quietly : 2
 lands : 2
 fertile : 2
 Though : 2
 mornings : 2
 affection : 2
 deed : 2
 devilish : 2
 retiring : 2
 field : 2
 archiveorg : 2
 burrow : 2
 foolscap : 2
 rascals : 2
 Moor : 2
 difference : 2
 lawyer : 2
 cigars : 2
 residue : 2
 coroner : 2
 movement : 2
 armed : 2
 compare : 2
 bravely : 2
 distrait : 2
 coat : 2
 hypertext : 2
 energies : 2
 shortbladed : 2
 fluttered : 2
 ashes : 2
 everyone : 2
 mental : 2
 comic : 2
 funding : 2
 beginning : 2
 audacity : 2
 park : 2
 Jove : 2
 doctors : 2
 treated : 2
 dancing : 2
 Hill : 2
 malignant : 2
 giant : 2
 nervous : 2
 ruin : 2
 boulder : 2
 courage : 2
 breast : 2
 founded : 2
 Suddenly : 2
 devils : 2
 throughout : 2
 resisted : 2
 solid : 2
 development : 2
 panelling : 2
 openly : 2
 big : 2
 vapour : 2
 follows : 2
 foolish : 2
 absolutely : 2
 pet : 2
 patient : 2
 supraorbital : 2
 halfsheet : 2
 directed : 2
 expedition : 2
 confine : 2
 Man : 2
 lens : 2
 hansom : 2
 desert : 2
 2000 : 2
 Someone : 2
 helps : 2
 depression : 2
 confided : 2
 FTP : 2
 sink : 2
 extreme : 2
 remark : 2
 limp : 2
 composer : 2
 readable : 2
 tax : 2
 Oldmore : 2
 noises : 2
 attachment : 2
 buildings : 2
 terrier : 2
 correspond : 2
 linen : 2
 furious : 2
 furnish : 2
 Beside : 2
 cutting : 2
 kindness : 2
 cotton : 2
 uninteresting : 2
 defend : 2
 fourteen : 2
 steal : 2
 NO : 2
 ancient : 2
 Association : 2
 dreary : 2
 negro : 2
 comfortable : 2
 yesterdays : 2
 Hardly : 2
 schoolmaster : 2
 disease : 2
 absurd : 2
 Saturday : 2
 recess : 2
 text : 2
 hamlet : 2
 BUT : 2
 delirious : 2
 bear : 2
 beam : 2
 farthest : 2
 clearing : 2
 progress : 2
 sorrow : 2
 S : 2
 joke : 2
 comment : 2
 commend : 2
 curtain : 2
 watcher : 2
 homes : 2
 reporting : 2
 weapon : 2
 royalty : 2
 crawled : 2
 noise : 2
 snapped : 2
 gifts : 2
 rushes : 2
 glimmer : 2
 repeated : 2
 editing : 2
 Thus : 2
 limited : 2
 hath : 2
 pride : 2
 expressive : 2
 hide : 2
 solemn : 2
 disclaims : 2
 straw : 2
 grief : 2
 delicacy : 2
 Beyond : 2
 unexplained : 2
 silvered : 2
 blackmailing : 2
 hopeless : 2
 encouraging : 2
 wildly : 2
 ceiling : 2
 western : 2
 wardrobe : 2
 bridge : 2
 client : 2
 mixture : 2
 presuming : 2
 approach : 2
 weak : 2
 daunted : 2
 irregular : 2
 fault : 2
 confidences : 2
 confident : 2
 PUBLIC : 2
 GUTENBERG : 2
 insisted : 2
 hearty : 2
 greatest : 2
 explanatory : 2
 offices : 2
 rustling : 2
 successfully : 2
 Life : 2
 eaves : 2
 surround : 2
 differences : 2
 EBCDIC : 2
 removed : 2
 constructed : 2
 setting : 2
 vanished : 2
 Today : 2
 says : 2
 slovenly : 2
 descended : 2
 humour : 2
 handled : 2
 dismal : 2
 German : 2
 fourth : 2
 fangs : 2
 cutter : 2
 corners : 2
 begun : 2
 exertions : 2
 profit : 2
 attended : 2
 Speak : 2
 origin : 2
 returns : 2
 confessed : 2
 ideas : 2
 indelibly : 2
 trespass : 2
 lighted : 2
 expectation : 2
 lighter : 2
 pinnacle : 2
 fainted : 2
 disarranged : 2
 encouraged : 2
 region : 2
 armchair : 2
 period : 2
 peaceful : 2
 Open : 2
 Excuse : 2
 muffled : 2
 sinner : 2
 Prove : 2
 guided : 2
 kill : 2
 Goodmorning : 2
 poised : 2
 confined : 2
 acute : 2
 Morland : 2
 grasp : 2
 Anything : 2
 taste : 2
 wanton : 2
 rubbed : 2
 5 : 2
 residence : 2
 unmitigated : 2
 lace : 2
 httppromonetpg : 2
 program : 2
 crest : 2
 wily : 2
 hesitation : 2
 sum : 2
 rascal : 2
 row : 2
 prosaic : 2
 members : 2
 solitude : 2
 Providence : 2
 billiardroom : 2
 arise : 2
 court : 2
 departure : 2
 aided : 2
 harmless : 2
 somebody : 2
 fixture : 2
 undertake : 2
 teach : 2
 thread : 2
 fees : 2
 Road : 2
 double : 2
 intervened : 2
 goyal : 2
 grazed : 2
 discuss : 2
 shepherd : 2
 THIS : 2
 investigate : 2
 activity : 2
 art : 2
 intelligence : 2
 numerous : 2
 succeed : 2
 opposition : 2
 African : 2
 bronze : 2
 blazed : 2
 ANY : 2
 sweet : 2
 dug : 2
 clouded : 2
 shirt : 2
 advise : 2
 higher : 2
 bounces : 2
 endeavour : 2
 burden : 2
 corroborated : 2
 Last : 2
 paralyzed : 2
 bristling : 2
 ordeal : 2
 frightful : 2
 hatred : 2
 Everything : 2
 impressed : 2
 conceivable : 2
 audacious : 2
 cloth : 2
 rains : 2
 club : 2
 users : 2
 helping : 2
 vigil : 2
 impatient : 2
 seized : 2
 noted : 2
 concluded : 2
 capital : 2
 indescribably : 2
 degree : 2
 Obviously : 2
 desired : 2
 explore : 2
 settling : 2
 fee : 2
 porch : 2
 inclined : 2
 women : 2
 proprietary : 2
 typewriter : 2
 1884 : 2
 readiness : 2
 crawling : 2
 stamped : 2
 illusage : 2
 frankness : 2
 usual : 2
 plainly : 2
 North : 2
 accent : 2
 astounded : 2
 angle : 2
 GET : 2
 chances : 2
 agreed : 2
 planning : 2
 pleased : 2
 Author : 2
 surroundings : 2
 prosecute : 2
 penetrate : 2
 INCLUDING : 2
 generations : 2
 available : 2
 genius : 2
 identification : 2
 ability : 2
 Finally : 2
 tutor : 2
 unite : 2
 member : 2
 grandeur : 2
 summerhouse : 2
 Yorkshire : 2
 earnestly : 2
 provisions : 2
 facial : 2
 Within : 2
 sequence : 2
 leader : 2
 paste : 2
 pike : 2
 saddle : 2
 weather : 2
 eh : 2
 Museum : 2
 curlyhaired : 2
 1742 : 2
 HOLMES : 2
 cliff : 2
 raining : 1
 ustomorrow : 1
 gag : 1
 clotted : 1
 hanging : 1
 ringlets : 1
 eligible : 1
 sunlit : 1
 recollections : 1
 prize : 1
 wooden : 1
 Feel : 1
 busybody : 1
 tired : 1
 errors : 1
 Reszkes : 1
 cooking : 1
 Until : 1
 replaced : 1
 interrupting : 1
 quagmires : 1
 reported : 1
 BASKERVILLE : 1
 climbed : 1
 transfixed : 1
 criticism : 1
 replace : 1
 opponents : 1
 relax : 1
 successful : 1
 hereby : 1
 hurl : 1
 90 : 1
 intake : 1
 locked : 1
 pursue : 1
 plunged : 1
 cajoled : 1
 NOTICE : 1
 wand : 1
 absolute : 1
 travel : 1
 damage : 1
 machine : 1
 significance : 1
 shores : 1
 types : 1
 endeavoured : 1
 headquarters : 1
 decoy : 1
 dreamed : 1
 fidelity : 1
 wrought : 1
 dreamer : 1
 fir : 1
 fit : 1
 Vaguely : 1
 reentered : 1
 easier : 1
 colourless : 1
 roysterer : 1
 arrow : 1
 Curse : 1
 Eliza : 1
 Winner : 1
 Recognizing : 1
 fortnight : 1
 whip : 1
 encourage : 1
 faculties : 1
 expends : 1
 estimate : 1
 perform : 1
 channels : 1
 FITNESS : 1
 goldengreen : 1
 renovated : 1
 lawsuits : 1
 listed : 1
 legs : 1
 mutilated : 1
 sulphur : 1
 crawl : 1
 positively : 1
 coward : 1
 idle : 1
 readjusted : 1
 endure : 1
 responsible : 1
 recommended : 1
 causing : 1
 defiantly : 1
 Ask : 1
 grips : 1
 blackmailer : 1
 thrilled : 1
 retaining : 1
 episode : 1
 incomplete : 1
 marvel : 1
 officeand : 1
 advisors : 1
 abreast : 1
 lessons : 1
 lights : 1
 cousins : 1
 heartily : 1
 stammered : 1
 WatsonI : 1
 tips : 1
 Watsons : 1
 SEND : 1
 eyelids : 1
 flanked : 1
 Nets : 1
 blew : 1
 unexpectedly : 1
 Anderson : 1
 radius : 1
 exactDr : 1
 score : 1
 scorn : 1
 counsel : 1
 felony : 1
 cessing : 1
 souvenir : 1
 debt : 1
 pits : 1
 quests : 1
 login : 1
 argue : 1
 tinge : 1
 vain : 1
 unprotected : 1
 Closed : 1
 source : 1
 trapdoor : 1
 twain : 1
 privilege : 1
 lift : 1
 doubts : 1
 prostrate : 1
 remembering : 1
 Capital : 1
 violin : 1
 trusted : 1
 trustee : 1
 damaged : 1
 stolid : 1
 chambermaid : 1
 Olivers : 1
 inadvertently : 1
 seamed : 1
 intrusion : 1
 peremptory : 1
 echoed : 1
 stillness : 1
 foreseeing : 1
 Theyll : 1
 sleeps : 1
 reckoned : 1
 tilde : 1
 previous : 1
 spectacles : 1
 craning : 1
 ease : 1
 BEFORE : 1
 Apart : 1
 casually : 1
 firmer : 1
 clustered : 1
 unique : 1
 bushy : 1
 occurring : 1
 Swedish : 1
 crowd : 1
 captive : 1
 stealthily : 1
 probabilityand : 1
 disheartened : 1
 betimes : 1
 logfire : 1
 losing : 1
 grievously : 1
 o : 1
 despair : 1
 statements : 1
 beings : 1
 east : 1
 constantly : 1
 avail : 1
 perfumes : 1
 conclusively : 1
 thinlipped : 1
 extremity : 1
 disclosing : 1
 crumble : 1
 uttered : 1
 halfsovereign : 1
 ambitious : 1
 roll : 1
 asterisk : 1
 breadth : 1
 disrepute : 1
 Thorsley : 1
 bribed : 1
 Holmessdid : 1
 tenacious : 1
 Ifrom : 1
 mourn : 1
 stays : 1
 fullest : 1
 tear : 1
 Rank : 1
 solved : 1
 spiritual : 1
 insignificant : 1
 lengthened : 1
 gnawed : 1
 fogwreaths : 1
 cleanliness : 1
 plucking : 1
 brilliant : 1
 crumbled : 1
 hillsidethe : 1
 nowhere : 1
 READ : 1
 proportion : 1
 bloody : 1
 ironical : 1
 positive : 1
 tightly : 1
 Michaelmas : 1
 scope : 1
 scratched : 1
 Donations : 1
 Pope : 1
 incited : 1
 originally : 1
 dispossess : 1
 believed : 1
 parishes : 1
 mirrors : 1
 daytwo : 1
 schoolmastering : 1
 windless : 1
 data : 1
 lids : 1
 stress : 1
 Hottentot : 1
 swollen : 1
 episodes : 1
 limbs : 1
 haughty : 1
 meekmannered : 1
 stroll : 1
 decreased : 1
 apron : 1
 singleminded : 1
 twilight : 1
 runners : 1
 unfruitful : 1
 Yellow : 1
 leather : 1
 repaired : 1
 revised : 1
 Elizabeth : 1
 cobs : 1
 suggesting : 1
 squares : 1
 complimented : 1
 intensely : 1
 flurried : 1
 byte : 1
 scarred : 1
 remainder : 1
 training : 1
 silhouetted : 1
 Money : 1
 modest : 1
 habitation : 1
 city : 1
 bite : 1
 waist : 1
 typing : 1
 bits : 1
 shawl : 1
 surges : 1
 proving : 1
 LETTER : 1
 representing : 1
 Seven : 1
 tingled : 1
 Nonpareil : 1
 prospect : 1
 illness : 1
 royalties : 1
 argument : 1
 checkmated : 1
 intends : 1
 wanting : 1
 coincide : 1
 butterfly : 1
 altered : 1
 onehalf : 1
 remarks : 1
 constable : 1
 bade : 1
 axe : 1
 trembled : 1
 peaches : 1
 scarce : 1
 unpractical : 1
 equipped : 1
 outrage : 1
 blinds : 1
 guarded : 1
 resource : 1
 artist : 1
 recurred : 1
 skyline : 1
 marred : 1
 16th : 1
 vision : 1
 nouveaux : 1
 surgery : 1
 testimonials : 1
 teens : 1
 checkered : 1
 gratefully : 1
 suppressed : 1
 jaunty : 1
 concentrated : 1
 s : 1
 loudly : 1
 riddle : 1
 inclining : 1
 twin : 1
 extinct : 1
 considers : 1
 companionship : 1
 stretch : 1
 motives : 1
 hilarity : 1
 unsafe : 1
 sturdily : 1
 profane : 1
 overcome : 1
 thirtysix : 1
 threequarters : 1
 binary : 1
 twentyfour : 1
 resided : 1
 scientifically : 1
 defy : 1
 wired : 1
 recapture : 1
 uncancelled : 1
 utterance : 1
 gorse : 1
 slimy : 1
 underline : 1
 trimmings : 1
 presumption : 1
 plumed : 1
 instrument : 1
 rejoin : 1
 gestures : 1
 traffic : 1
 Example : 1
 60 : 1
 malignancy : 1
 clay : 1
 diving : 1
 Reversion : 1
 memories : 1
 exit : 1
 defectwas : 1
 throwback : 1
 retraced : 1
 industry : 1
 meal : 1
 copses : 1
 stony : 1
 Away : 1
 whim : 1
 widower : 1
 anothera : 1
 tropical : 1
 burglar : 1
 sealed : 1
 bristled : 1
 continents : 1
 indorse : 1
 rage : 1
 Telegram : 1
 furnished : 1
 graywhiskered : 1
 ruse : 1
 dependents : 1
 Enormous : 1
 darker : 1
 detailed : 1
 vehicles : 1
 watches : 1
 pedestal : 1
 amused : 1
 Read : 1
 tight : 1
 implied : 1
 disgraceful : 1
 indemnify : 1
 mask : 1
 minister : 1
 essay : 1
 consider : 1
 caused : 1
 instincts : 1
 debris : 1
 welfare : 1
 causes : 1
 hunting : 1
 laughing : 1
 tm : 1
 unfurnished : 1
 conjectured : 1
 puzzles : 1
 condition : 1
 17th : 1
 marvellous : 1
 EXPRESS : 1
 laying : 1
 desertion : 1
 sane : 1
 dusky : 1
 mget : 1
 healed : 1
 displays : 1
 crests : 1
 section : 1
 leaping : 1
 compliance : 1
 periodic : 1
 depart : 1
 strolling : 1
 smokedarkened : 1
 indoors : 1
 baulks : 1
 select : 1
 wavering : 1
 6 : 1
 rudeness : 1
 Found : 1
 doom : 1
 Ross : 1
 resources : 1
 knocked : 1
 prompt : 1
 stated : 1
 reincarnation : 1
 states : 1
 fiercely : 1
 bewailing : 1
 Fulham : 1
 cling : 1
 clink : 1
 OTHER : 1
 CARTWRlGHT : 1
 plank : 1
 malevolent : 1
 register : 1
 scullerymaid : 1
 exclusions : 1
 incessantly : 1
 smiling : 1
 imaginings : 1
 mostand : 1
 colleague : 1
 abandons : 1
 gipsy : 1
 sucker : 1
 reticent : 1
 shop : 1
 strangling : 1
 blackclothed : 1
